property_id,property_type,district,size_sqm,rooms,energy_class,asking_price_eur,intake_date,listed_date,days_to_publish,agent_id,status
RK-0055,Commercial,Hamburg-Winterhude,401,4,B,1676000,2025-05-18,2025-05-25,7,Agent_25,Sold
RK-0056,Apartment,Hamburg-Altona,93,3,C,420000,2025-06-07,2025-06-14,7,Agent_03,Active
RK-0057,Apartment,Hamburg-St. Pauli,100,4,F,576000,2023-12-29,2024-01-01,3,Agent_13,Sold
RK-0058,Apartment,Hamburg-Ottensen,95,3,A+,469000,2024-05-01,2024-05-13,12,Agent_45,Withdrawn
RK-0059,Penthouse,Hamburg-Wandsbek,125,4,B,944000,2025-02-26,2025-03-16,18,Agent_47,Active
RK-0060,Studio,Hamburg-Wandsbek,41,1,E,242000,2024-08-30,2024-09-15,16,Agent_23,Withdrawn
RK-0061,Apartment,Hamburg-Blankenese,115,2,B,480000,2024-01-04,2024-01-08,4,Agent_26,Sold
RK-0062,Apartment,Hamburg-Eimsbüttel,80,2,C,460000,2025-04-29,2025-05-16,17,Agent_09,Sold
RK-0063,Apartment,Hamburg-Wandsbek,52,4,C,218000,2025-07-28,2025-08-16,19,Agent_05,Withdrawn
RK-0064,Commercial,Hamburg-Eimsbüttel,424,5,B,1490000,2025-01-07,2025-01-08,1,Agent_18,Sold
RK-0065,Apartment,Hamburg-Eimsbüttel,98,4,A+,518000,2025-08-23,2025-09-01,9,Agent_35,Active
RK-0066,House,Hamburg-Bergedorf,194,6,D,1361000,2025-03-07,2025-03-12,5,Agent_37,Active
RK-0067,Apartment,Hamburg-Blankenese,40,4,C,181000,2025-03-20,2025-03-21,1,Agent_49,Sold
RK-0068,Apartment,Hamburg-St. Pauli,65,3,D,275000,2024-04-24,2024-04-27,3,Agent_50,Withdrawn
RK-0069,Apartment,Hamburg-Barmbek,96,3,C,485000,2025-07-20,2025-07-31,11,Agent_39,Withdrawn
RK-0070,House,Hamburg-Eimsbüttel,181,5,D,1286000,2025-03-08,2025-03-10,2,Agent_38,Sold
RK-0071,House,Hamburg-Eimsbüttel,150,6,B,749000,2024-04-30,2024-05-17,17,Agent_10,Sold
RK-0072,Studio,Hamburg-Harburg,40,1,A,219000,2024-07-12,2024-07-23,11,Agent_43,Active
RK-0073,Apartment,Hamburg-Eppendorf,114,2,E,536000,2024-12-21,2024-12-25,4,Agent_25,Sold
RK-0074,Studio,Hamburg-Bergedorf,38,1,B,206000,2023-12-18,2024-01-05,18,Agent_28,Active
RK-0075,Apartment,Hamburg-Wandsbek,51,2,A,294000,2024-03-05,2024-03-18,13,Agent_27,Sold
RK-0076,House,Hamburg-Winterhude,155,6,D,1097000,2024-01-31,2024-02-17,17,Agent_26,Sold
RK-0077,Apartment,Hamburg-St. Pauli,118,3,B,455000,2025-12-12,2025-12-26,14,Agent_26,Sold
RK-0078,House,Hamburg-HafenCity,113,4,C,574000,2024-01-04,2024-01-07,3,Agent_47,Sold
RK-0079,Apartment,Hamburg-Bergedorf,77,3,C,386000,2025-09-17,2025-09-22,5,Agent_28,Sold
RK-0080,Apartment,Hamburg-Wandsbek,83,2,C,487000,2025-07-23,2025-08-02,10,Agent_03,Active
RK-0081,House,Hamburg-Ottensen,133,5,B,930000,2025-08-07,2025-08-17,10,Agent_41,Sold
RK-0082,House,Hamburg-HafenCity,158,7,C,871000,2025-03-06,2025-03-12,6,Agent_06,Withdrawn
RK-0083,Apartment,Hamburg-Winterhude,63,4,F,287000,2024-08-22,2024-08-30,8,Agent_37,Withdrawn
RK-0084,House,Hamburg-Blankenese,174,6,D,843000,2024-04-10,2024-04-27,17,Agent_30,Sold
RK-0085,House,Hamburg-Bergedorf,235,5,B,1509000,2024-10-21,2024-10-26,5,Agent_06,Sold
RK-0086,House,Hamburg-Ottensen,212,5,C,1325000,2024-03-16,2024-03-30,14,Agent_38,Withdrawn
RK-0087,Apartment,Hamburg-Bergedorf,42,1,F,189000,2024-01-05,2024-01-10,5,Agent_23,Sold
RK-0088,Commercial,Hamburg-Eimsbüttel,380,5,E,1853000,2025-06-30,2025-07-03,3,Agent_30,Sold
RK-0089,Apartment,Hamburg-St. Pauli,114,4,D,612000,2025-05-19,2025-05-27,8,Agent_22,Active
RK-0090,Commercial,Hamburg-Eppendorf,329,4,C,1255000,2025-12-20,2025-12-25,5,Agent_05,Sold
RK-0091,Apartment,Hamburg-Eppendorf,81,2,C,498000,2024-10-13,2024-10-21,8,Agent_14,Sold
RK-0092,Apartment,Hamburg-Eppendorf,64,2,C,275000,2025-08-30,2025-09-07,8,Agent_39,Sold
RK-0093,House,Hamburg-HafenCity,141,4,C,1027000,2025-09-13,2025-09-14,1,Agent_30,Withdrawn
RK-0094,Commercial,Hamburg-Ottensen,470,1,E,1775000,2024-07-12,2024-07-14,2,Agent_10,Sold
RK-0095,Commercial,Hamburg-Blankenese,218,4,A,959000,2024-07-14,2024-08-03,20,Agent_15,Active
RK-0096,House,Hamburg-Ottensen,229,4,D,1574000,2024-10-07,2024-10-18,11,Agent_27,Withdrawn
RK-0097,Apartment,Hamburg-St. Pauli,45,3,E,208000,2024-11-27,2024-12-11,14,Agent_43,Active
RK-0098,Apartment,Hamburg-Blankenese,99,3,C,411000,2024-11-14,2024-11-19,5,Agent_37,Sold
RK-0099,Apartment,Hamburg-Barmbek,48,3,D,251000,2025-08-21,2025-09-04,14,Agent_36,Sold
RK-0100,Apartment,Hamburg-Wandsbek,79,3,A,405000,2024-05-06,2024-05-16,10,Agent_26,Sold
RK-0101,Commercial,Hamburg-Harburg,353,2,C,1050000,2025-02-04,2025-02-21,17,Agent_43,Active
RK-0102,Apartment,Hamburg-Harburg,110,2,C,625000,2024-05-23,2024-06-09,17,Agent_29,Active
RK-0103,House,Hamburg-HafenCity,180,7,C,880000,2024-05-19,2024-05-27,8,Agent_49,Active
RK-0104,House,Hamburg-Blankenese,222,6,C,1394000,2025-10-14,2025-10-31,17,Agent_45,Active
RK-0105,House,Hamburg-HafenCity,212,5,E,1251000,2025-10-04,2025-10-05,1,Agent_08,Sold
RK-0106,Apartment,Hamburg-Blankenese,73,3,A+,433000,2024-02-06,2024-02-24,18,Agent_07,Active
RK-0107,Apartment,Hamburg-Eppendorf,98,3,E,404000,2024-02-08,2024-02-23,15,Agent_37,Sold
RK-0108,House,Hamburg-Winterhude,134,4,E,985000,2024-09-30,2024-10-14,14,Agent_43,Active
RK-0109,Apartment,Hamburg-HafenCity,94,4,D,550000,2024-11-18,2024-11-25,7,Agent_33,Active
RK-0110,Penthouse,Hamburg-Bergedorf,118,4,D,769000,2025-11-19,2025-12-09,20,Agent_11,Sold
RK-0111,Apartment,Hamburg-Ottensen,59,3,B,279000,2024-09-03,2024-09-12,9,Agent_34,Withdrawn
RK-0112,Commercial,Hamburg-Eppendorf,339,1,C,1561000,2025-12-10,2025-12-27,17,Agent_50,Sold
RK-0113,House,Hamburg-Winterhude,124,4,A,742000,2024-09-23,2024-10-04,11,Agent_46,Withdrawn
RK-0114,House,Hamburg-Wandsbek,136,4,B,1009000,2024-04-27,2024-05-07,10,Agent_36,Sold
RK-0115,House,Hamburg-Blankenese,221,6,B,1004000,2024-01-21,2024-01-27,6,Agent_27,Sold
RK-0116,Apartment,Hamburg-St. Pauli,49,4,F,221000,2025-09-11,2025-09-25,14,Agent_02,Active
RK-0117,Apartment,Hamburg-Harburg,65,1,B,333000,2024-01-07,2024-01-11,4,Agent_49,Sold
RK-0118,Apartment,Hamburg-Winterhude,63,4,B,373000,2024-11-06,2024-11-07,1,Agent_36,Sold
RK-0119,Commercial,Hamburg-Wandsbek,424,3,B,1264000,2024-07-17,2024-07-19,2,Agent_09,Sold
RK-0120,House,Hamburg-St. Pauli,203,5,C,1068000,2024-04-22,2024-05-10,18,Agent_37,Active
RK-0121,House,Hamburg-St. Pauli,118,5,C,834000,2024-01-07,2024-01-17,10,Agent_49,Withdrawn
RK-0122,House,Hamburg-Blankenese,248,6,B,1416000,2024-12-23,2025-01-08,16,Agent_06,Sold
RK-0123,Apartment,Hamburg-HafenCity,65,1,F,348000,2024-02-06,2024-02-16,10,Agent_16,Sold
RK-0124,Apartment,Hamburg-Blankenese,46,1,F,204000,2025-05-24,2025-06-02,9,Agent_48,Withdrawn
RK-0125,Apartment,Hamburg-Blankenese,78,3,B,411000,2025-04-27,2025-05-04,7,Agent_17,Active
RK-0126,Apartment,Hamburg-Blankenese,76,3,C,303000,2024-12-22,2024-12-29,7,Agent_15,Sold
RK-0127,Apartment,Hamburg-HafenCity,121,3,C,519000,2025-02-17,2025-03-01,12,Agent_02,Withdrawn
RK-0128,Apartment,Hamburg-Eimsbüttel,52,3,C,282000,2024-01-25,2024-02-08,14,Agent_29,Sold
RK-0129,House,Hamburg-Eimsbüttel,220,6,B,1126000,2024-12-04,2024-12-24,20,Agent_05,Active
RK-0130,Apartment,Hamburg-Ottensen,69,4,F,272000,2024-10-03,2024-10-19,16,Agent_01,Sold
RK-0131,Apartment,Hamburg-St. Pauli,127,2,C,766000,2024-02-25,2024-03-01,5,Agent_43,Withdrawn
RK-0132,Studio,Hamburg-Harburg,30,1,C,153000,2024-08-06,2024-08-13,7,Agent_04,Sold
RK-0133,Apartment,Hamburg-Bergedorf,113,1,D,523000,2024-07-27,2024-08-05,9,Agent_49,Sold
RK-0134,Apartment,Hamburg-Harburg,86,2,B,460000,2024-03-19,2024-04-08,20,Agent_49,Sold
RK-0135,House,Hamburg-Wandsbek,102,6,E,508000,2024-04-14,2024-04-29,15,Agent_25,Withdrawn
RK-0136,Apartment,Hamburg-Wandsbek,95,2,E,455000,2025-06-15,2025-06-24,9,Agent_03,Active
RK-0137,Apartment,Hamburg-Blankenese,64,3,C,304000,2024-07-29,2024-08-13,15,Agent_38,Active
RK-0138,House,Hamburg-Eppendorf,136,4,D,982000,2025-07-28,2025-08-15,18,Agent_40,Sold
RK-0139,House,Hamburg-Blankenese,190,6,B,1047000,2024-08-30,2024-09-18,19,Agent_16,Active
RK-0140,Apartment,Hamburg-Barmbek,52,4,B,287000,2024-06-14,2024-06-18,4,Agent_27,Withdrawn
RK-0141,Studio,Hamburg-Harburg,44,1,B,222000,2025-06-08,2025-06-18,10,Agent_10,Withdrawn
RK-0142,Apartment,Hamburg-Harburg,41,4,F,238000,2025-05-31,2025-06-07,7,Agent_02,Sold
RK-0143,Apartment,Hamburg-HafenCity,99,1,C,443000,2024-11-02,2024-11-21,19,Agent_30,Withdrawn
RK-0144,Apartment,Hamburg-Winterhude,99,2,A,583000,2024-09-30,2024-10-04,4,Agent_20,Sold
RK-0145,House,Hamburg-St. Pauli,249,6,D,1266000,2025-11-17,2025-12-05,18,Agent_50,Active
RK-0146,Commercial,Hamburg-Eppendorf,66,5,B,225000,2024-01-27,2024-02-02,6,Agent_47,Active
RK-0147,Apartment,Hamburg-Altona,68,4,D,261000,2024-09-16,2024-09-27,11,Agent_32,Active
RK-0148,Apartment,Hamburg-Ottensen,106,4,C,508000,2024-01-06,2024-01-21,15,Agent_16,Sold
RK-0149,Apartment,Hamburg-Eimsbüttel,42,2,C,183000,2025-06-08,2025-06-10,2,Agent_35,Sold
RK-0150,Commercial,Hamburg-Eimsbüttel,267,3,A,1097000,2024-02-15,2024-02-29,14,Agent_25,Active
RK-0151,Apartment,Hamburg-Wandsbek,89,3,A+,369000,2025-11-20,2025-11-23,3,Agent_20,Sold
RK-0152,House,Hamburg-Blankenese,183,5,B,1080000,2025-12-24,2025-12-26,2,Agent_24,Sold
RK-0153,Apartment,Hamburg-Barmbek,57,3,B,236000,2024-12-16,2024-12-31,15,Agent_31,Sold
RK-0154,Commercial,Hamburg-Wandsbek,161,1,B,630000,2024-07-13,2024-08-01,19,Agent_24,Withdrawn
RK-0155,Apartment,Hamburg-Blankenese,119,3,A+,707000,2025-10-20,2025-10-21,1,Agent_10,Sold
RK-0156,House,Hamburg-Barmbek,132,6,B,812000,2025-07-22,2025-08-11,20,Agent_26,Withdrawn
RK-0157,Apartment,Hamburg-Harburg,54,2,A,253000,2025-02-14,2025-03-03,17,Agent_40,Withdrawn
RK-0158,House,Hamburg-Blankenese,172,4,E,970000,2025-06-18,2025-07-06,18,Agent_12,Sold
RK-0159,Commercial,Hamburg-Winterhude,170,3,C,838000,2023-12-27,2024-01-07,11,Agent_20,Sold
RK-0160,Apartment,Hamburg-Wandsbek,80,2,E,305000,2023-12-31,2024-01-12,12,Agent_13,Active
RK-0161,Studio,Hamburg-Altona,23,1,A+,108000,2025-09-03,2025-09-22,19,Agent_44,Sold
RK-0162,Apartment,Hamburg-HafenCity,95,4,C,526000,2024-01-20,2024-02-04,15,Agent_33,Withdrawn
RK-0163,House,Hamburg-Altona,123,5,E,580000,2024-12-09,2024-12-29,20,Agent_24,Sold
RK-0164,Apartment,Hamburg-Eppendorf,105,3,C,588000,2024-10-11,2024-10-21,10,Agent_12,Sold
RK-0165,House,Hamburg-Altona,198,6,B,1257000,2025-04-12,2025-04-22,10,Agent_44,Withdrawn
RK-0166,Apartment,Hamburg-Wandsbek,101,1,C,422000,2025-08-31,2025-09-14,14,Agent_39,Active
RK-0167,House,Hamburg-Eimsbüttel,188,7,D,1187000,2024-06-06,2024-06-11,5,Agent_05,Active
RK-0168,Studio,Hamburg-Barmbek,34,1,B,146000,2025-01-19,2025-01-29,10,Agent_03,Sold
RK-0169,Apartment,Hamburg-Wandsbek,40,3,B,224000,2025-11-01,2025-11-13,12,Agent_01,Active
RK-0170,Apartment,Hamburg-Blankenese,76,2,C,457000,2024-10-14,2024-10-31,17,Agent_44,Withdrawn
RK-0171,Apartment,Hamburg-Winterhude,100,1,A,618000,2025-09-24,2025-10-03,9,Agent_37,Sold
RK-0172,Apartment,Hamburg-Bergedorf,98,2,B,471000,2025-11-07,2025-11-21,14,Agent_12,Sold
RK-0173,House,Hamburg-Altona,225,7,B,1217000,2024-01-24,2024-02-08,15,Agent_43,Sold
RK-0174,Apartment,Hamburg-Ottensen,84,2,A,485000,2025-01-01,2025-01-09,8,Agent_50,Sold
RK-0175,Apartment,Hamburg-Altona,44,4,B,220000,2024-06-30,2024-07-11,11,Agent_10,Sold
RK-0176,Commercial,Hamburg-Eimsbüttel,428,4,C,1492000,2024-11-26,2024-12-10,14,Agent_04,Withdrawn
RK-0177,Commercial,Hamburg-Barmbek,363,5,B,1782000,2025-08-22,2025-08-24,2,Agent_50,Withdrawn
RK-0178,Studio,Hamburg-Winterhude,32,1,C,147000,2025-08-02,2025-08-11,9,Agent_11,Sold
RK-0179,Studio,Hamburg-Wandsbek,38,1,B,208000,2025-04-08,2025-04-26,18,Agent_13,Withdrawn
RK-0180,Apartment,Hamburg-Wandsbek,93,3,C,419000,2024-05-03,2024-05-22,19,Agent_29,Sold
RK-0181,Apartment,Hamburg-Altona,129,3,C,614000,2023-12-26,2024-01-03,8,Agent_48,Active
RK-0182,Apartment,Hamburg-Winterhude,51,2,C,209000,2024-10-04,2024-10-19,15,Agent_44,Sold
RK-0183,Commercial,Hamburg-Ottensen,423,3,E,2104000,2024-01-10,2024-01-21,11,Agent_16,Active
RK-0184,Studio,Hamburg-Winterhude,34,1,B,147000,2024-05-01,2024-05-20,19,Agent_34,Active
RK-0185,Apartment,Hamburg-Eimsbüttel,67,3,F,262000,2025-02-05,2025-02-23,18,Agent_02,Sold
RK-0186,House,Hamburg-Bergedorf,106,6,B,558000,2024-05-31,2024-06-07,7,Agent_49,Withdrawn
RK-0187,Apartment,Hamburg-Harburg,46,4,A+,230000,2024-12-28,2025-01-10,13,Agent_42,Sold
RK-0188,House,Hamburg-Blankenese,236,6,B,1417000,2023-12-31,2024-01-10,10,Agent_08,Active
RK-0189,Commercial,Hamburg-HafenCity,109,3,C,288000,2025-10-27,2025-11-06,10,Agent_33,Active
RK-0190,House,Hamburg-Eppendorf,260,4,C,1264000,2025-03-02,2025-03-07,5,Agent_15,Sold
RK-0191,Apartment,Hamburg-HafenCity,117,3,C,496000,2024-09-08,2024-09-10,2,Agent_35,Sold
RK-0192,Apartment,Hamburg-Winterhude,78,3,D,374000,2024-09-22,2024-10-06,14,Agent_19,Sold
RK-0193,Apartment,Hamburg-Blankenese,75,1,B,311000,2025-11-03,2025-11-06,3,Agent_09,Sold
RK-0194,House,Hamburg-Ottensen,112,5,B,577000,2025-05-19,2025-05-31,12,Agent_27,Sold
RK-0195,House,Hamburg-Barmbek,143,5,C,649000,2024-04-27,2024-05-09,12,Agent_02,Sold
RK-0196,Apartment,Hamburg-Wandsbek,47,3,B,247000,2025-06-26,2025-07-01,5,Agent_13,Sold
RK-0197,Apartment,Hamburg-Winterhude,94,3,C,419000,2025-01-22,2025-02-03,12,Agent_08,Sold
RK-0198,Apartment,Hamburg-Ottensen,44,3,A,223000,2024-12-28,2024-12-29,1,Agent_30,Active
RK-0199,Commercial,Hamburg-Winterhude,347,1,B,1219000,2025-03-29,2025-04-04,6,Agent_34,Active
RK-0200,Apartment,Hamburg-HafenCity,124,2,B,703000,2024-06-24,2024-06-28,4,Agent_18,Sold
RK-0201,House,Hamburg-Bergedorf,159,6,C,746000,2023-12-28,2024-01-12,15,Agent_49,Sold
RK-0202,House,Hamburg-Wandsbek,257,6,B,1886000,2023-12-18,2024-01-07,20,Agent_14,Active
RK-0203,Apartment,Hamburg-Barmbek,74,2,B,415000,2024-09-20,2024-09-22,2,Agent_25,Sold
RK-0204,Apartment,Hamburg-Blankenese,119,3,C,685000,2024-01-12,2024-01-25,13,Agent_34,Sold
RK-0205,Apartment,Hamburg-Winterhude,84,3,C,330000,2025-08-17,2025-08-30,13,Agent_31,Active
RK-0206,House,Hamburg-Eppendorf,192,4,C,1421000,2024-02-10,2024-02-29,19,Agent_31,Active
RK-0207,Apartment,Hamburg-HafenCity,50,3,B,288000,2024-02-10,2024-02-25,15,Agent_09,Active
RK-0208,Apartment,Hamburg-Winterhude,101,2,C,617000,2024-03-04,2024-03-20,16,Agent_33,Active
RK-0209,Apartment,Hamburg-Altona,91,2,A,384000,2024-04-27,2024-05-03,6,Agent_39,Withdrawn
RK-0210,Apartment,Hamburg-Ottensen,46,3,A+,246000,2025-03-25,2025-03-30,5,Agent_22,Sold
RK-0211,Apartment,Hamburg-Ottensen,118,3,D,674000,2025-02-21,2025-02-26,5,Agent_01,Sold
RK-0212,Apartment,Hamburg-Winterhude,84,1,B,358000,2025-04-30,2025-05-11,11,Agent_21,Active
RK-0213,Apartment,Hamburg-Winterhude,73,2,E,321000,2024-08-05,2024-08-14,9,Agent_29,Sold
RK-0214,Studio,Hamburg-Wandsbek,36,1,C,148000,2024-06-23,2024-07-10,17,Agent_09,Sold
RK-0215,Apartment,Hamburg-Blankenese,49,4,E,298000,2024-09-29,2024-10-10,11,Agent_34,Sold
RK-0216,House,Hamburg-HafenCity,186,5,C,1249000,2025-07-22,2025-08-03,12,Agent_01,Active
RK-0217,Apartment,Hamburg-Winterhude,82,3,D,345000,2025-04-10,2025-04-27,17,Agent_05,Sold
RK-0218,Apartment,Hamburg-Eppendorf,50,4,B,252000,2025-01-06,2025-01-25,19,Agent_28,Active
RK-0219,House,Hamburg-St. Pauli,195,4,E,1245000,2025-06-18,2025-07-03,15,Agent_32,Sold
RK-0220,Apartment,Hamburg-Wandsbek,112,2,C,533000,2025-07-10,2025-07-14,4,Agent_04,Sold
RK-0221,Apartment,Hamburg-Ottensen,49,3,E,218000,2025-04-30,2025-05-02,2,Agent_13,Sold
RK-0222,House,Hamburg-Blankenese,110,4,C,717000,2025-01-27,2025-02-05,9,Agent_25,Sold
RK-0223,House,Hamburg-Eppendorf,121,4,E,751000,2025-12-13,2025-12-25,12,Agent_32,Sold
RK-0224,Apartment,Hamburg-Altona,71,2,C,272000,2025-04-29,2025-05-11,12,Agent_41,Active
RK-0225,Studio,Hamburg-St. Pauli,33,1,A,178000,2024-08-18,2024-08-25,7,Agent_23,Sold
RK-0226,Commercial,Hamburg-Altona,404,4,B,1321000,2025-06-09,2025-06-24,15,Agent_27,Sold
RK-0227,Commercial,Hamburg-Barmbek,337,3,C,1674000,2025-11-30,2025-12-01,1,Agent_03,Sold
RK-0228,Penthouse,Hamburg-Blankenese,114,4,B,813000,2024-05-05,2024-05-15,10,Agent_16,Sold
RK-0229,Studio,Hamburg-Harburg,27,1,B,149000,2024-08-01,2024-08-11,10,Agent_34,Sold
RK-0230,Commercial,Hamburg-Barmbek,278,3,D,1295000,2024-01-04,2024-01-13,9,Agent_36,Sold
RK-0231,Commercial,Hamburg-Bergedorf,73,1,B,312000,2024-02-20,2024-03-10,19,Agent_37,Sold
RK-0232,House,Hamburg-Ottensen,123,4,A+,913000,2025-04-05,2025-04-13,8,Agent_39,Active
RK-0233,Apartment,Hamburg-Bergedorf,84,1,C,363000,2025-05-24,2025-05-29,5,Agent_16,Sold
RK-0234,House,Hamburg-Eppendorf,261,5,A,1602000,2024-05-19,2024-06-07,19,Agent_49,Sold
RK-0235,Commercial,Hamburg-HafenCity,176,4,D,804000,2025-02-22,2025-03-07,13,Agent_36,Active
RK-0236,Apartment,Hamburg-Eimsbüttel,86,4,C,414000,2024-04-14,2024-04-27,13,Agent_33,Sold
RK-0237,Apartment,Hamburg-Wandsbek,54,3,F,320000,2024-04-22,2024-05-03,11,Agent_39,Active
RK-0238,House,Hamburg-Barmbek,237,5,B,1226000,2025-08-24,2025-09-10,17,Agent_30,Sold
RK-0239,Apartment,Hamburg-Eimsbüttel,58,2,C,274000,2025-07-29,2025-08-03,5,Agent_20,Withdrawn
