project_id,project_type,district,start_date,duration_weeks,budget_eur,status,designer_id,brief_hours
PROJ-041,Office Fit-Out,Hamburg-Bergedorf,2024-09-29,13,143800,Active,Designer_01,2.9
PROJ-042,Retail Space Design,Hamburg-Altona,2025-04-17,7,118100,On Hold,Designer_19,3.3
PROJ-043,Office Fit-Out,Hamburg-HafenCity,2024-04-04,16,95600,Pending Approval,Designer_20,1.9
PROJ-044,Office Fit-Out,Hamburg-Wandsbek,2024-05-10,10,35900,Completed,Designer_07,2.9
PROJ-045,Office Fit-Out,Hamburg-Ottensen,2024-06-17,9,33300,Completed,Designer_05,3.0
PROJ-046,Residential Renovation,Hamburg-Winterhude,2024-10-23,7,53900,Active,Designer_06,1.7
PROJ-047,Residential Renovation,Hamburg-Wandsbek,2024-07-11,4,112000,Completed,Designer_11,3.3
PROJ-048,Retail Space Design,Hamburg-Harburg,2024-12-06,6,113400,Active,Designer_20,3.6
PROJ-049,Show Apartment Staging,Hamburg-Winterhude,2025-09-22,11,104800,Completed,Designer_05,2.8
PROJ-050,Retail Space Design,Hamburg-Barmbek,2025-08-18,12,24800,Completed,Designer_15,2.8
PROJ-051,Retail Space Design,Hamburg-HafenCity,2024-02-06,19,124600,Active,Designer_03,3.4
PROJ-052,New Build Interior,Hamburg-Altona,2024-12-30,10,50400,Completed,Designer_10,3.4
PROJ-053,Residential Renovation,Hamburg-Altona,2025-09-04,7,104600,Active,Designer_13,4.1
PROJ-054,Retail Space Design,Hamburg-St. Pauli,2024-06-15,15,24300,Pending Approval,Designer_17,3.6
PROJ-055,Show Apartment Staging,Hamburg-Bergedorf,2025-06-05,19,17700,Completed,Designer_20,2.1
PROJ-056,Show Apartment Staging,Hamburg-Winterhude,2024-06-17,18,62400,Completed,Designer_13,4.5
PROJ-057,Retail Space Design,Hamburg-Ottensen,2025-09-05,16,118200,Pending Approval,Designer_11,3.1
PROJ-058,Retail Space Design,Hamburg-Winterhude,2024-08-13,7,117300,Completed,Designer_18,3.9
PROJ-059,New Build Interior,Hamburg-Eppendorf,2024-05-17,12,148500,On Hold,Designer_01,1.8
PROJ-060,Show Apartment Staging,Hamburg-Barmbek,2025-05-11,14,123400,Completed,Designer_14,4.3
PROJ-061,Office Fit-Out,Hamburg-Winterhude,2024-10-05,14,112400,Pending Approval,Designer_14,3.4
PROJ-062,Retail Space Design,Hamburg-Winterhude,2024-10-11,10,40000,Completed,Designer_13,3.0
PROJ-063,Office Fit-Out,Hamburg-Eimsbüttel,2025-01-12,17,19500,Completed,Designer_17,4.4
PROJ-064,Retail Space Design,Hamburg-Eppendorf,2025-08-04,11,90700,Active,Designer_10,4.2
PROJ-065,Office Fit-Out,Hamburg-Wandsbek,2025-02-26,7,90000,Active,Designer_04,1.8
PROJ-066,Office Fit-Out,Hamburg-Wandsbek,2025-05-09,15,18700,Active,Designer_16,1.6
PROJ-067,Retail Space Design,Hamburg-HafenCity,2024-09-18,13,132900,Active,Designer_09,3.9
PROJ-068,Residential Renovation,Hamburg-Winterhude,2025-06-10,8,142200,Active,Designer_08,2.5
PROJ-069,Show Apartment Staging,Hamburg-Barmbek,2025-11-27,12,90600,Active,Designer_04,1.8
PROJ-070,Office Fit-Out,Hamburg-Bergedorf,2025-05-06,10,51600,Completed,Designer_07,3.7
PROJ-071,New Build Interior,Hamburg-Winterhude,2024-02-08,15,31300,On Hold,Designer_14,3.0
PROJ-072,Office Fit-Out,Hamburg-Ottensen,2025-06-25,13,47600,Pending Approval,Designer_03,3.0
PROJ-073,Retail Space Design,Hamburg-Blankenese,2025-10-15,18,89200,Completed,Designer_08,2.9
PROJ-074,Show Apartment Staging,Hamburg-Winterhude,2024-05-29,11,58900,Completed,Designer_11,3.0
PROJ-075,Residential Renovation,Hamburg-Blankenese,2024-01-30,18,130000,Completed,Designer_09,4.3
PROJ-076,Office Fit-Out,Hamburg-Ottensen,2024-10-09,16,132200,Completed,Designer_19,2.0
PROJ-077,New Build Interior,Hamburg-Eppendorf,2024-05-28,6,149100,Completed,Designer_07,2.5
PROJ-078,Office Fit-Out,Hamburg-Wandsbek,2025-02-18,10,107200,Completed,Designer_04,3.9
PROJ-079,Office Fit-Out,Hamburg-Eimsbüttel,2025-07-11,16,27900,Completed,Designer_04,2.9
PROJ-080,Office Fit-Out,Hamburg-Harburg,2024-05-15,13,100500,Completed,Designer_06,2.5
